iter	Passed	Remaining
424	1876	2539
425	1879	2532
426	1882	2526
427	1885	2520
428	1888	2513
429	1893	2509
430	1895	2502
431	1898	2496
432	1901	2489
433	1903	2482
434	1906	2476
435	1909	2469
436	1911	2462
437	1913	2455
438	1916	2449
439	1919	2443
440	1922	2437
441	1925	2430
442	1927	2424
443	1930	2417
444	1932	2410
445	1937	2406
446	1940	2400
447	1943	2394
448	1945	2387
449	1947	2380
450	1952	2377
451	1955	2370
452	1958	2364
453	1960	2358
454	1963	2352
455	1969	2349
456	1972	2343
457	1974	2337
458	1977	2330
459	1980	2324
460	1983	2318
461	1986	2313
462	1990	2309
463	1994	2304
464	2000	2301
465	2003	2295
466	2005	2289
467	2008	2283
468	2010	2276
469	2014	2271
470	2017	2266
471	2019	2259
472	2022	2253
473	2024	2246
474	2027	2241
475	2029	2234
476	2032	2228
477	2035	2222
478	2038	2216
479	2040	2210
480	2044	2205
481	2046	2199
482	2048	2192
483	2051	2186
484	2053	2180
485	2056	2175
486	2058	2168
487	2059	2161
488	2061	2154
489	2063	2147
490	2065	2140
491	2066	2134
492	2068	2127
493	2073	2124
494	2076	2118
495	2078	2112
496	2080	2106
497	2083	2100
498	2089	2098
499	2093	2093
500	2096	2087
501	2099	2082
502	2106	2081
503	2111	2077
504	2114	2072
505	2121	2070
506	2125	2066
507	2128	2061
508	2141	2065
509	2144	2060
510	2146	2054
511	2156	2055
512	2160	2050
513	2162	2044
514	2173	2047
515	2176	2041
516	2181	2037
517	2186	2034
518	2189	2028
519	2192	2023
520	2200	2022
521	2204	2018
522	2206	2012
523	2209	2006
524	2217	2006
525	2221	2002
526	2224	1996
527	2238	2001
528	2241	1995
529	2250	1995
530	2253	1990
531	2256	1984
532	2265	1985
533	2270	1981
534	2279	1981
535	2282	1975
536	2284	1969
537	2293	1969
538	2296	1964
539	2300	1959
540	2303	1953
541	2309	1951
542	2312	1946
543	2315	1940
544	2322	1938
545	2326	1934
546	2330	1929
547	2333	1924
548	2337	1920
549	2340	1915
550	2344	1910
551	2353	1909
552	2358	1906
553	2361	1900
554	2365	1896
555	2376	1897
556	2380	1893
557	2383	1888
558	2386	1882
559	2389	1877
560	2393	1872
561	2398	1869
562	2402	1864
563	2407	1861
564	2411	1856
565	2414	1851
566	2417	1846
567	2422	1842
568	2427	1839
569	2431	1834
570	2438	1832
571	2442	1827
572	2445	1822
573	2449	1817
574	2463	1820
575	2468	1817
576	2472	1812
577	2475	1807
578	2479	1802
579	2483	1798
580	2487	1794
581	2490	1788
582	2494	1784
583	2496	1778
584	2500	1773
585	2503	1768
586	2506	1763
587	2508	1757
588	2511	1752
589	2518	1749
590	2521	1744
591	2523	1739
592	2526	1734
593	2535	1732
594	2537	1727
595	2540	1722
596	2549	1721
597	2554	1716
598	2556	1711
599	2564	1709
600	2569	1706
601	2572	1700
602	2580	1698
603	2583	1693
604	2587	1689
605	2589	1683
606	2602	1684
607	2605	1679
608	2609	1675
609	2612	1670
610	2615	1665
611	2618	1659
612	2626	1658
613	2631	1654
614	2634	1649
615	2645	1649
616	2648	1643
617	2656	1641
618	2660	1637
619	2664	1632
620	2670	1629
621	2675	1626
622	2678	1620
623	2681	1615
624	2687	1612
625	2691	1607
626	2693	1602
627	2697	1597
628	2704	1595
629	2707	1590
630	2710	1585
631	2717	1582
632	2720	1577
633	2724	1572
634	2727	1567
635	2732	1564
636	2737	1559
637	2745	1558
638	2751	1554
639	2755	1549
640	2759	1545
641	2762	1540
642	2766	1535
643	2778	1535
644	2786	1533
645	2790	1529
646	2793	1524
647	2795	1518
648	2804	1516
649	2807	1511
650	2810	1506
651	2813	1501
652	2825	1501
653	2828	1496
654	2831	1491
655	2837	1488
656	2841	1483
657	2844	1478
658	2856	1478
659	2860	1473
660	2864	1468
661	2867	1464
662	2871	1459
663	2873	1454
664	2882	1452
665	2888	1448
666	2893	1444
667	2898	1440
668	2901	1435
669	2905	1430
670	2918	1430
671	2921	1426
672	2933	1425
673	2962	1432
674	2967	1428
675	2979	1428
676	2982	1422
677	2996	1423
678	3005	1420
679	3014	1418
680	3025	1417
681	3028	1412
682	3032	1407
683	3035	1402
684	3039	1397
685	3045	1394
686	3061	1394
687	3065	1390
688	3073	1387
689	3088	1387
690	3092	1382
691	3104	1381
692	3108	1377
693	3121	1376
694	3124	1371
695	3127	1366
696	3131	1361
697	3148	1362
698	3152	1357
699	3158	1353
700	3184	1358
701	3198	1357
702	3206	1354
703	3211	1350
704	3214	1345
705	3219	1340
706	3223	1335
707	3229	1331
708	3235	1328
709	3239	1323
710	3242	1318
711	3246	1313
712	3251	1308
713	3254	1303
714	3259	1299
715	3263	1294
716	3266	1289
717	3270	1284
718	3273	1279
719	3277	1274
720	3287	1272
721	3290	1267
722	3294	1262
723	3299	1257
724	3302	1252
725	3305	1247
726	3308	1242
727	3313	1237
728	3317	1233
729	3321	1228
730	3327	1224
731	3330	1219
732	3339	1216
733	3348	1213
734	3352	1208
735	3355	1203
736	3364	1200
737	3368	1195
738	3372	1190
739	3379	1187
740	3383	1182
741	3386	1177
742	3389	1172
743	3393	1167
744	3395	1162
745	3399	1157
746	3401	1152
747	3409	1148
748	3413	1143
749	3415	1138
750	3417	1133
751	3422	1128
752	3424	1123
753	3426	1118
754	3429	1112
755	3438	1109
756	3441	1104
757	3444	1099
758	3453	1096
759	3455	1091
760	3457	1085
761	3460	1080
762	3468	1077
763	3471	1072
764	3474	1067
765	3479	1062
766	3482	1057
767	3491	1054
768	3501	1051
769	3504	1046
770	3507	1041
771	3517	1038
772	3523	1034
773	3534	1031
774	3537	1026
775	3548	1024
776	3552	1019
777	3560	1015
778	3565	1011
779	3577	1009
780	3582	1004
781	3594	1002
782	3598	997
783	3601	992
784	3610	988
785	3614	984
786	3624	981
787	3628	976
788	3633	971
789	3637	966
790	3640	961
791	3650	958
792	3655	954
793	3658	949
794	3665	945
795	3668	940
796	3677	936
797	3680	931
798	3685	927
799	3693	923
800	3696	918
801	3700	913
802	3710	910
803	3715	905
804	3723	901
805	3731	898
806	3741	894
807	3744	889
808	3747	884
809	3754	880
810	3757	875
811	3761	871
812	3764	865
813	3772	862
814	3775	857
815	3778	851
816	3780	846
817	3789	843
818	3792	838
819	3794	832
820	3802	829
821	3807	824
822	3809	819
823	3812	814
824	3817	809
825	3819	804
826	3821	799
827	3824	794
828	3827	789
829	3830	784
830	3832	779
831	3835	774
832	3837	769
833	3839	764
834	3841	759
835	3845	754
836	3848	749
837	3851	744
838	3854	739
839	3857	734
840	3861	730
841	3864	725
842	3868	720
843	3870	715
844	3876	711
845	3879	706
846	3882	701
847	3886	696
848	3889	691
849	3892	686
850	3895	682
851	3898	677
852	3902	672
853	3906	667
854	3909	662
855	3911	658
856	3914	653
857	3917	648
858	3921	643
859	3924	638
860	3927	634
861	3929	629
862	3932	624
863	3936	619
864	3940	614
865	3943	610
866	3945	605
867	3949	600
868	3952	595
869	3955	591
870	3958	586
871	3962	581
872	3967	577
873	3969	572
874	3970	567
875	3971	562
876	3973	557
877	3976	552
878	3978	547
879	3980	542
880	3983	538
881	3985	533
882	3987	528
883	3989	523
884	3990	518
885	3992	513
886	3993	508
887	3996	504
888	3998	499
889	4000	494
890	4002	489
891	4006	485
892	4010	480
893	4014	476
894	4017	471
895	4021	466
896	4025	462
897	4029	457
898	4034	453
899	4038	448
900	4044	444
901	4049	439
902	4052	435
903	4056	430
904	4059	426
905	4063	421
906	4065	416
907	4068	412
908	4074	407
909	4081	403
910	4084	399
911	4091	394
912	4096	390
913	4099	385
914	4102	381
915	4108	376
916	4113	372
917	4128	368
918	4138	364
919	4143	360
920	4152	356
921	4160	351
922	4168	347
923	4173	343
924	4188	339
925	4195	335
926	4205	331
927	4220	327
928	4238	323
929	4251	319
930	4255	315
931	4261	310
932	4275	307
933	4280	302
934	4291	298
935	4295	293
936	4312	289
937	4323	285
938	4327	281
939	4381	279
940	4387	275
941	4395	270
942	4401	266
943	4411	261
944	4416	257
945	4447	253
946	4450	249
947	4459	244
948	4461	239
949	4465	235
950	4468	230
951	4473	225
952	4478	220
953	4485	216
954	4488	211
955	4506	207
956	4516	202
957	4523	198
958	4536	193
959	4539	189
960	4551	184
961	4568	180
962	4572	175
963	4583	171
964	4597	166
965	4601	161
966	4609	157
967	4614	152
968	4618	147
969	4632	143
970	4639	138
971	4643	133
972	4650	129
973	4661	124
974	4675	119
975	4678	115
976	4681	110
977	4691	105
978	4694	100
979	4704	96
980	4707	91
981	4710	86
982	4713	81
983	4722	76
984	4725	71
985	4727	67
986	4738	62
987	4741	57
988	4744	52
989	4758	48
990	4761	43
991	4768	38
992	4771	33
993	4774	28
994	4782	24
995	4785	19
996	4788	14
997	4793	9
998	4795	4
999	4798	0
